id,car_name,car_brand,car_tag,price,new_price,complexOutlook,firstCert,odograph,allPower,carBelong,range,isDome,wheelBase,drivingMode
116458848,特斯拉 Model 3 2020款 改款 标准续航后驱升级版,特斯拉,Model 3,218000,292751,9成新,2020-12,2.6万公里,202kW,太原(晋),468km,0,2875,后置后驱
116339799,宝骏E100 2020款 305KM 智行版,宝骏,宝骏E100,41800,54056,9成新,2021-02,0.4万公里,24kW,台州(浙),305km,1,1600,前置前驱
115943401,比亚迪 汉 2020款 EV 四驱高性能版旗舰型,比亚迪,汉,229000,308816,9成新,2020-08,1.9万公里,363kW,成都(川),550km,1,2920,双电机四驱
116482432,特斯拉 Model 3 2021款 Performance高性能全轮驱动版,特斯拉,Model 3,306700,368951,9成新,2021-03,1.9万公里,339kW,重庆(渝),605km,0,2875,双电机四驱
115679152,特斯拉MODEL S 2014款 MODEL S 85,特斯拉,特斯拉MODEL S,258000,796735,7成新,2015-02,4.7万公里,270kW,烟台(鲁),502km,0,2960,后置后驱
115663271,吉利汽车 帝豪GSe 2019款 改款 500 领尚型,吉利,帝豪GSe,89000,140894,9成新,2020-06,2.5万公里,120kW,长沙(湘),400km,1,2700,前置前驱
116344704,北汽新能源 EC系列 2018款 EC220 标准版,北汽新能源,EC系列,32800,60569,9成新,2018-12,0.2万公里,30kW,淄博(鲁),206km,1,2360,前置前驱
116491863,蔚来ES8 2018款 创始版,蔚来,蔚来ES8,306200,594837,8成新,2019-06,4.9万公里,480kW,郑州(豫),355km,1,3010,双电机四驱
116274603,别克 微蓝6 2019款 互联智享型,别克,微蓝6,87500,232073,8成新,2019-08,4.4万公里,85kW,苏州(苏),301km,0,2660,前置前驱
115899172,小鹏汽车P7 2020款 586E,小鹏汽车,小鹏汽车P7,229000,288517,9成新,2020-10,1.7万公里,196kW,苏州(苏),568km,1,2998,后置后驱
116440185,威马汽车 威马EX5 2020款 EX5-Z Fun动感版,威马汽车,威马EX5,135800,162603,99成新,2021-11,0.1万公里,160kW,武汉(鄂),400km,1,2703,前置前驱
116489454,特斯拉 Model Y 2022款 后轮驱动版,特斯拉,Model Y,294000,327638,99成新,2022-02,100公里,202kW,合肥(皖),-,0,2890,后置后驱
116197900,别克 微蓝6 2020款 互联智享型 PLUS,别克,微蓝6,119900,230445,95成新,2021-09,0.8万公里,110kW,兰州(甘),410km,0,2660,前置前驱
116388242,特斯拉 Model 3 2021款 标准续航后驱升级版 3D6,特斯拉,Model 3,249900,273256,99成新,2021-12,0.2万公里,220kW,嘉兴(浙),468km,0,2875,后置后驱
116291950,理念 广汽本田VE-1 2020款 出行版,理念,广汽本田VE-1,83800,173458,7成新,2020-07,8.4万公里,120kW,恩施(鄂),401km,1,2610,前置前驱
116520464,宝骏E200 2019款 250KM 智行版,宝骏,宝骏E200,46900,59483,9成新,2020-07,0.9万公里,29kW,上海(沪),250km,1,1600,前置前驱
116219098,威马汽车 威马EX5 2019款 EX5 智行2.0 Extra创新版400,威马汽车,威马EX5,92800,195167,8成新,2019-04,2.6万公里,160kW,成都(川),400km,1,2703,前置前驱
115959489,小鹏汽车P7 2021款 480N,小鹏汽车,小鹏汽车P7,216800,254217,9成新,2021-08,1.5万公里,196kW,重庆(渝),480km,1,2998,后置后驱
116345601,五菱汽车 宏光MINI EV 2020款 悦享款 磷酸铁锂,五菱,宏光MINI EV,40700,42116,99成新,2022-01,200公里,20kW,东营(鲁),170km,1,1940,后置后驱
115679168,北汽新能源 EC系列 2018款 灵动版,北汽新能源,EC系列,48800,71423,8成新,2019-03,2.8万公里,45kW,唐山(冀),261km,1,2360,前置前驱
116316263,奇瑞 小蚂蚁 2021款 改款 15万蚁粉款 新蚁酷版 磷酸铁锂,奇瑞,小蚂蚁,54800,75765,9成新,2021-06,0.2万公里,30kW,六安(皖),301km,1,2150,后置后驱
116145023,欧拉iQ 2018款 高续航版 智联型,欧拉,欧拉iQ,75800,124611,8成新,2019-03,3.8万公里,120kW,沈阳(辽),401km,1,2615,前置前驱
115794046,宝骏E100 2017款 智行版,宝骏,宝骏E100,23800,101925,7成新,2018-05,2.9万公里,29kW,柳州(桂),155km,1,1600,前置前驱
116368755,蔚来ES6 2020款 600KM 运动版,蔚来,蔚来ES6,260000,451555,9成新,2021-05,1.7万公里,320kW,宁波(浙),600km,1,2900,双电机四驱
116168527,比亚迪 汉 2020款 EV 超长续航版尊贵型,比亚迪,汉,185000,283090,8成新,2020-09,5.0万公里,163kW,石家庄(冀),605km,1,2920,前置前驱
115719237,奇瑞eQ1 2018款 小蚂蚁400 智享版 4座,奇瑞,奇瑞eQ1,41800,71423,8成新,2019-03,3.0万公里,30kW,厦门(闽),301km,1,2150,后置后驱
115836073,特斯拉 Model 3 2021款 标准续航后驱升级版,特斯拉,Model 3,229800,289538,9成新,2021-03,1.3万公里,202kW,北京(京),468km,0,2875,后置后驱
116485334,江淮iEV6E 2018款 升级版 iEV6E 豪华智能型,江淮,江淮iEV6E,37800,139482,9成新,2018-12,2.5万公里,50kW,郑州(豫),255km,1,2390,前置前驱
116121724,小鹏汽车P7 2022款 670N+,小鹏汽车,小鹏汽车P7,280000,299372,99成新,2022-01,0.2万公里,196kW,石家庄(冀),670km,0,2998,后置后驱
115895887,小鹏汽车G3 2019款 尊享版,小鹏汽车,小鹏汽车G3,111000,216876,9成新,2019-05,6.5万公里,145kW,杭州(浙),365km,1,2610,前置前驱
116253360,大众 ID.4 X 2021款 1st Edition ID.初见版,大众,ID.4 X,198800,256049,9成新,2021-11,300公里,150kW,上海(沪),555km,0,2765,后置后驱
116559910,特斯拉 Model 3 2022款 后轮驱动版,特斯拉,Model 3,260000,289538,99成新,2022-02,100公里,202kW,南通(苏),-,0,2875,后置后驱
116509174,欧拉好猫 2021款 500km长续航 阿波罗版 三元锂,欧拉,欧拉好猫,140000,145344,9成新,2021-03,2.0万公里,105kW,台州(浙),501km,1,2650,前置前驱
115763353,比亚迪 元新能源 2019款 EV535 智联领创型,比亚迪,元新能源,81800,141002,8成新,2019-12,4.3万公里,70kW,成都(川),410km,1,2535,前置前驱
116251453,比亚迪 宋Pro新能源 2019款 EV 高功率版豪华型,比亚迪,宋Pro新能源,149800,206022,8成新,2021-03,2.4万公里,120kW,南京(苏),405km,1,2712,前置前驱
116534368,宝骏E100 2019款 250KM 智行版,宝骏,宝骏E100,35000,54056,9成新,2020-03,1.7万公里,29kW,徐州(苏),250km,1,1600,前置前驱
116203335,广汽新能源 Aion S 埃安 2019款 炫 630,广汽埃安,Aion S 埃安,89800,166945,7成新,2020-06,13.8万公里,135kW,江门(粤),510km,1,2750,前置前驱
116414280,小鹏汽车P7 2021款 480G,小鹏汽车,小鹏汽车P7,203800,243362,99成新,2022-01,100公里,196kW,杭州(浙),-,1,2998,后置后驱
116248760,江淮iEV6E 2018款 运动版 iEV6E 豪华智享型,江淮,江淮iEV6E,38800,172372,8成新,2018-07,6.7万公里,50kW,太原(晋),310km,1,2390,前置前驱
116458540,东风 俊风E17 2018款 标准型,东风,俊风E17,36000,248355,9成新,2018-06,1.1万公里,100kW,大连(辽),310km,1,2700,前置前驱
116378688,红旗E-QM5 2021款 充电 旗领版,红旗,红旗E-QM5,141800,0,9成新,2021-12,0.1万公里,140kW,长春(吉),431km,1,2990,前置前驱
116314696,北汽新能源 EX系列 2018款 EX360 新尚版,北汽新能源,EX系列,39900,101925,7成新,2018-05,10.0万公里,80kW,北京(京),318km,1,2519,前置前驱
